#ACoolDataset - List of Active
﻿LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000201988-0001-6,FREDERICK C ABEL,ABC UPHOLSTERY,7851 ALABAMA AVENUE #1,CANOGA PARK,91304-4954,7851 ALABAMA 91304-4954,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",3,12/01/2000,,"(34.2128, -118.5994)"
0000201989-0001-1,BERNIE HAGGENMACHER,LEONARDS FOREIGN CAR,8765 RESEDA BLVD #J,NORTHRIDGE,91324-6105,8765 RESEDA 91324-6105,,,,452000,General merchandise stores,12,04/01/1995,,"(34.2301, -118.5361)"
0000202005-0001-7,JEDSADA PANJAWATANAPORN,JESSIE HAIR STYLIST,13553 ROSCOE BLVD,PANORAMA CITY,91402-5500,13553 ROSCOE 91402-5500,,,,812111,Barber shops,6,09/09/2000,,"(34.2216, -118.4279)"
0000202009-0001-5,SHLOMO DEH GRATZIA/ADAM WARPEN,AA IRONCO WELDING,12041 LOPEZ CANYON ROAD,SYLMAR,91342-6037,12041 LOPEZ CANYON 91342-6037,,,,235210,Painting and Wall Covering Contractors (1997 NAICS),7,04/06/1995,,"(34.2918, -118.4003)"
0000202012-0001-7,HP ASSOCIATES INC,,9333 MELVIN AVENUE,NORTHRIDGE,91324-2410,9333 MELVIN 91324-2410,1351 TOTTENHAM COURT,OAK PARK,91377-4732,,,12,04/06/1995,,"(34.2396, -118.5601)"
0000202016-0001-5,PRO-TECH COLLISION AUTOMOTIVE CENTER INC,PRO-TECH AUTOMOTIVE CENTER,12201 SAN FERNANDO ROAD,SYLMAR,91342-5086,12201 SAN FERNANDO 91342-5086,,,,452000,General merchandise stores,7,04/06/1995,,"(34.2918, -118.4506)"
0000202026-0001-9,NEIL E HOFFMAN,,19100 SYLVAN STREET,TARZANA,91335-6712,19100 SYLVAN 91335,,,,561500,Travel arrangement & reservation services,3,01/01/2001,,"(34.1848, -118.5488)"
0000202028-0001-8,MICHEL/IRENE CASARUBBIA,LAFFAIR RESTAURANT,11024 SEPULVEDA BLVD,MISSION HILLS,91345-1414,11024 SEPULVEDA 91345-1414,,,,722110,Full-service restaurants,7,06/01/1976,,"(34.2715, -118.4673)"
0000202032-0001-4,ABEL & YOLANDA AGUILERA,,13256 HERRICK AVENUE,SYLMAR,91342-2754,13256 HERRICK 91342-2754,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",7,04/06/1995,,"(34.3123, -118.4622)"
0000202036-0001-2,JOTH INC,THE CANDY CAT,21625 DEVONSHIRE STREET,CHATSWORTH,91311-2902,21625 DEVONSHIRE 91311-2902,,,,722410,Drinking places (alcoholic beverages),12,05/01/1976,,"(34.2572, -118.5998)"
0000202043-0001-2,SUZAN J JOHNSON,,3940 LAUREL CANYON BLVD SUITE #1243,STUDIO CITY,91604-3709,3940 LAUREL CANYON 91604-3709,2932 PARK CENTER DRIVE,LOS ANGELES,90068-1834,512100,Motion picture & video industries (except video rental),2,04/06/1995,,"(34.142, -118.3946)"
0000202055-0001-5,AMERICAN INDEPENDENT PRODUCTION INC,,4101 KNOBHILL DRIVE,SHERMAN OAKS,91403-4620,4101 KNOBHILL 91403,,,,512100,Motion picture & video industries (except video rental),4,,,"(34.145, -118.448)"
0000202063-0001-0,ROGER S FRIEDMAN,ROGERS EQUIPMENT,19441 BUSINESS CENTER DRIVE #122,NORTHRIDGE,91324-3551,19441 BUSINESS CENTER 91324-3551,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",12,04/01/1995,,"(34.2313, -118.557)"
0000202070-0001-0,STEVE RADICH,STEVE ELECTRIC CO,17079 KINGSBURY STREET,GRANADA HILLS,91344-6219,17079 KINGSBURY 91344-6219,,,,235310,Electrical Contractors (1997 NAICS),12,06/11/1997,,"(34.2635, -118.5048)"
0000202079-0001-1,HARISH C JAIN,SILVER SKY INTERNATIONAL,13451 VENTURA BLVD,SHERMAN OAKS,91423-3812,13451 VENTURA 91423-3812,13451 VENTURA BLVD,SHERMAN OAKS,91423-3812,424990,Other miscellaneous nondurable goods,4,06/01/1976,,"(34.1472, -118.4265)"
0000202107-0001-4,MARY R/ALBERT R LUI,FIVEACE PRINTING,15044 NORDHOFF STREET UNIT #5,NORTH HILLS,91343-7301,15044 NORDHOFF 91343-7301,,,,561430,Business service centers (including private mail centers & copy shops),6,05/01/1995,,"(34.2354, -118.4597)"
0000202118-0001-2,ANDREAS K SALEH,GATEWAY USA,15061 NORDHOFF STREET #115,NORTH HILLS,91343-7300,15061 NORDHOFF 91343-7300,23239 VANOWEN STREET,WEST HILLS,91307-2423,561500,Travel arrangement & reservation services,6,04/20/1995,,"(34.2354, -118.4598)"
0000202121-0001-4,YOLANDA ORTEGA,,14230 GRUEN STREET,ARLETA,91331-5348,14230 GRUEN 91331-5348,POST OFFICE BOX #922113,SYLMAR,91392-2113,561500,Travel arrangement & reservation services,6,03/01/1995,,"(34.2437, -118.4428)"
0000202125-0001-2,MOSSER CONSTRUCTION INC,MOSSER CONSTRUCTION LLC,14825 SUTTON STREET,SHERMAN OAKS,91403-4146,14825 SUTTON 91403-4146,4335 VAN NUYS BLVD SUITE #326,SHERMAN OAKS,91403-3727,233210,Single Family Housing Construction (1997 NAICS),4,04/06/1995,,"(34.1482, -118.4568)"
0000202161-0001-9,PLAZA LOANS & INVESTMENTS INC,,19730 VENTURA BLVD ##17,WOODLAND HILLS,91364-6306,19730 VENTURA 91364-6306,POST OFFICE BOX #251814,LOS ANGELES,90025-9174,,,3,03/01/1995,,"(34.1724, -118.5635)"
0000202164-0001-2,CLASS ACT DESIGN INC,CLASS ACT DESIGNS,22714 CREOLE ROAD,WOODLAND HILLS,91364-3925,22714 CREOLE 91364-3925,6520 PLATT AVENUE,WEST HILLS,91307-3218,454111,Electronic shopping,3,10/01/2000,,"(34.1552, -118.6224)"
0000202169-0001-5,MAHSHID PAYAN M ED MFFCC,,5535 BALBOA BLVD #220,ENCINO,91316-1553,5535 BALBOA 91316-1553,5535 BALBOA BLVD SUITE #220,ENCINO,91316-1553,621399,Offices of all other miscellaneous health practitioners,5,04/18/1995,,"(34.1713, -118.5011)"
0000202172-0001-7,REYNALDO QUINONEZ,GENERAL MECHANIC,18545 TOPHAM STREET #A,TARZANA,91335-6878,18545 TOPHAM 91335-6878,,,,452000,General merchandise stores,3,03/01/2000,,"(34.1807, -118.5386)"
0000202176-0001-5,JUAN M MOTTA,MOTTA THE HANDYMAN,15241 CANTARA STREET,VAN NUYS,91402-4411,15241 CANTARA 91402-4411,,,,233220,Multifamily Housing Construction (1997 NAICS),6,01/17/1996,,"(34.2193, -118.4642)"
0000202184-0001-0,THEA J BERNSTEIN,THEA BERNSTEIN ELECTROLYSIS,13600 VENTURA BLVD,SHERMAN OAKS,91423-5046,13600 VENTURA 91423-5046,,,,561500,Travel arrangement & reservation services,4,08/01/1994,,"(34.1477, -118.4296)"
0000202197-0001-7,RICHARD AUGER PHD,,4424 TYRONE AVENUE,SHERMAN OAKS,91423-2627,4424 TYRONE 91423-2627,,,,621399,Offices of all other miscellaneous health practitioners,4,05/01/1976,,"(34.1514, -118.4444)"
0000202198-0001-1,MARCIA A BARAN,,5328 NEWCASTLE AVENUE #27,ENCINO,91316-3023,5328 NEWCASTLE 91316-3023,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",5,04/14/1995,,"(34.166, -118.5243)"
0000202203-0001-4,SCOTT D RANDALL,QMD ENTERPRISES,7519 QUIMBY AVENUE,WEST HILLS,91307-1531,7519 QUIMBY 91307-1531,6433 TOPANGA CANYON BLVD #110,WOODLAND HILLS,91303-2621,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",12,04/14/1995,,"(34.2061, -118.631)"
0000202207-0001-2,JORGE E CAMACHO,PCI,11136 BECKFORD AVENUE,NORTHRIDGE,91326-2329,11136 BECKFORD 91326-2329,,,,423600,Electrical & electronic goods,12,04/14/1995,,"(34.2722, -118.5487)"
0000202252-0001-8,DONALD G ROBIDOUX,DONS POOL SERVICE,8428 ENCINO AVENUE,NORTHRIDGE,91325-3930,8428 ENCINO 91325-3930,8428 ENCINO AVENUE,NORTHRIDGE,91325-3930,561500,Travel arrangement & reservation services,12,10/01/2000,,"(34.2227, -118.5147)"
0000202265-0001-5,WARDAK INC,HI-TECH ELECTRONICS,9424 ETON AVENUE #B,CHATSWORTH,91311-6922,9424 ETON 91311-6922,9424 ETON AVENUE SUITE #B,CHATSWORTH,91311-6922,561500,Travel arrangement & reservation services,12,09/15/2000,,"(34.2411, -118.5959)"
0000202269-0001-3,YESENIA SAUCEDO,YESENIA'S BEAUTY SALON,20306 SATICOY STREET,CANOGA PARK,91306-2511,20306 SATICOY 91306-2511,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",3,10/01/2000,,"(34.2083, -118.5756)"
0000202274-0001-4,CARLOS/LILIANA VARONA,,13707 1/2 BURBANK BLVD,VAN NUYS,91401-5040,13707 BURBANK 91401-5040,,,,561500,Travel arrangement & reservation services,4,11/01/1994,,"(34.1721, -118.4315)"
0000202307-0001-1,RODRIGO RAMIRO HENRIQUEZ LOPEZ,RODRIGO LOPEZ POOL SERVICE,14630 WYANDOTTE STREET #119,VAN NUYS,91405-1979,14630 WYANDOTTE 91405-1979,8348 MATILIJA AVENUE,PANORAMA CITY,91402-3821,561300,Employment services,6,09/04/2000,,"(34.203, -118.4505)"
0000202319-0001-3,ERNEST S JOHNSON SR,ALSONS,17446 INDEX STREET,GRANADA HILLS,91344-3420,17446 INDEX 91344-3420,17446 INDEX STREET,GRANADA HILLS,91344-3420,339110,Medical equipment & supplies mfg.,12,02/01/1985,,"(34.2757, -118.5141)"
0000202320-0001-6,STEVEN SAWHILL/SHAWN SHELTON,ADVANCE SURVEILLANCE TECHNOLOGY,7657 WINNETKA AVENUE #416,WINNETKA,91306-2677,7657 WINNETKA 91306-2677,,,,541600,"Management, scientific, & technical consulting services",3,09/11/2000,,"(34.2099, -118.571)"
0000202347-0001-5,SHAUN D DREW,SOTTOVOCE,6243 BEEMAN AVENUE,NORTH HOLLYWOOD,91606-3120,6243 BEEMAN 91606-3120,,,,541510,Computer systems design & related services,2,09/11/2000,,"(34.1837, -118.4073)"
0000202353-0001-1,WESTCO INC,,21500 NORDHOFF STREET,CHATSWORTH,91311-6990,21500 NORDHOFF 91311-6990,,,,423600,Electrical & electronic goods,3,01/01/2000,,"(34.2354, -118.5993)"
0000202370-0001-4,ELEANOR HOBBS/GARNET CANFIELD,,11626 RIVERSIDE DRIVE,NORTH HOLLYWOOD,91602-1075,11626 RIVERSIDE 91602-1075,38340 MARACAIBO CIRCLE E,PALM SPRINGS,92264-0247,531100,Lessors of real estate (including mini warehouses & self-storage units),2,01/01/1976,,"(34.1576, -118.386)"
0000202393-0001-5,4 SSSS DEVELOPMENT LP/4 SSSS DEVELOPMENT /C,,17108 OAK VIEW DRIVE,ENCINO,91316-4012,17108 OAK VIEW 91316-4012,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,07/28/1995,,"(0, 0)"
0000202395-0001-4,BARBARA LAYNE,ACADEMY OF MAKEUP & FASHION,9005 ETON AVENUE #A,CANOGA PARK,91304-6531,9005 ETON 91304-6531,9005 ETON AVENUE #A,CANOGA PARK,91304-6531,611000,"Educational services (including schools, colleges, & universities)",3,09/04/1995,,"(34.2331, -118.5941)"
0000202404-0001-5,"KRAVITZ  INVESTMENT SERVICES, INC.",KRAVITZ,15760 VENTURA BLVD #910,ENCINO,91436-3019,15760 VENTURA 91436-3019,,,,523900,Other financial investment activities (including investment advice),5,01/24/1995,,"(34.1553, -118.4762)"
0000202459-0001-6,CASA MICHAEL LLC,CASA MICHAEL LLC,10848 MORRISON STREET,NORTH HOLLYWOOD,91601-4626,10848 MORRISON 91601-4626,19528 VENTURA BLVD SUITE #597,TARZANA,91356-2917,531100,Lessors of real estate (including mini warehouses & self-storage units),2,08/01/1975,,"(34.1608, -118.3669)"
0000202486-0001-3,ANTONI JOHANSSON RUIZHIE,DAZNETWORK - ZHIURLAND,7814 RIVERTON AVENUE,SUN VALLEY,91352-4518,7814 RIVERTON 91352-4518,1194 CRENSHAW BLVD #1,LOS ANGELES,90019-3123,541510,Computer systems design & related services,2,03/01/2000,,"(34.2125, -118.3659)"
0000202499-0001-1,WILLIAM/ANNETTE LANG,,16255 VENTURA BLVD SUITE #212,ENCINO,91436-2300,16255 VENTURA 91436-2300,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),5,02/01/1974,,"(34.1568, -118.4873)"
0000202513-0001-2,SWANSON CONTI AND ASSOCIATES INC,,5400 BALBOA BLVD UNIT #311,ENCINO,91316-5230,5400 BALBOA 91316-5230,,,,621330,Offices of mental health practitioners (except physicians),5,08/01/2000,,"(34.1688, -118.501)"
0000202517-0002-9,RONALD WILLIAMS,RON'S LIMOUSINE SERVICE,10633 SALOMA AVENUE,MISSION HILLS,91345-2128,10633 SALOMA 91345-2128,POST OFFICE BOX #2394,CULVER CITY,90231-2394,485300,Taxi & limousine service,7,01/01/2005,,"(34.2629, -118.4577)"
0000202530-0001-6,P/W INTERNATIONAL TECH CO INC,,5850 CANOGA AVENUE FLOOR #4,WOODLAND HILLS,91367-6554,5850 CANOGA 91367-6554,5850 CANOGA AVENUE SUITE #400,WOODLAND HILLS,91367-6554,423500,Metal & mineral (except petroleum),3,06/01/1994,,"(34.1763, -118.5973)"
0000202538-0001-2,EWING IRRIGATION PRODUCTS INC,,21101 SUPERIOR STREET,CHATSWORTH,91311-4309,21101 SUPERIOR 91311-4309,3441 E HARBOUR DRIVE,PHOENIX,85034-7229,423800,"Machinery, equipment, & supplies",12,01/28/1985,,"(34.2463, -118.5929)"
0000202559-0001-4,FERNANDO GUTIERREZ,,6500 AQUEDUCT AVENUE,VAN NUYS,91406-6202,6500 AQUEDUCT 91406-6202,,,,442200,Home furnishings stores,6,09/11/2000,,"(34.1889, -118.4736)"
0000202580-0005-7,FARMER BROS CO,,9373 REMICK AVENUE,ARLETA,91331-4222,9373 REMICK 91331-4222,,,,,,6,09/30/1985,,"(34.2397, -118.4139)"
0000202618-0001-3,JOSE L REYES,REYES BRAKE SERVICE,8115 CANOGA AVENUE #4,CANOGA PARK,91304-4179,8115 CANOGA 91304-4179,,,,452000,General merchandise stores,3,01/28/1985,,"(34.2172, -118.5975)"
0000202620-0001-1,DAVID S ULLMAN,PODIATRIC MEDICINE & SURGERY,5727 CANOGA AVENUE #291,WOODLAND HILLS,91367-6523,5727 CANOGA 91367-6523,,,,621391,Offices of podiatrists,3,01/28/1985,,"(34.1739, -118.5975)"
0000202624-0002-7,HDOS ENTERPRISES,HOT DOG ON STICK #202,14006 RIVERSIDE DRIVE,SHERMAN OAKS,91423-1945,14006 RIVERSIDE 91423-1945,5942 PRIESTLY DRIVE,CARLSBAD,92008-8839,722211,Limited-service eating places,4,07/15/2012,,"(34.1576, -118.4381)"
0000202635-0001-7,BEARSWORTH COMMUNICATIONS INC,BEARSWORTH COMMUNICATIONS,10341 CANOGA AVENUE #29,CHATSWORTH,91311-2213,10341 CANOGA 91311-2213,9800 TOPANGA CANYON BLVD #D246,CHATSWORTH,91311-4076,541800,Advertising & related services,12,09/01/2000,,"(34.2587, -118.5973)"
0000202638-0001-1,SOSSY AGOPIAN,DANCESHOES CC,8741 DARBY AVENUE #18,NORTHRIDGE,91325-3090,8741 DARBY 91325-3090,,,,454111,Electronic shopping,12,11/01/2000,,"(34.2295, -118.5335)"
0000202642-0001-7,PHILIP M LICHTENFELD MD APC,,16550 VENTURA BLVD #320,ENCINO,91436-2060,16550 VENTURA 91436-2060,,,,621111,Offices of physicians (except mental health specialists),5,01/14/1985,,"(34.1577, -118.4934)"
0000202655-0001-4,SUNSHINE CLEANERS INC,SIMONS SUN VALLEY CLEANERS,13813 VENTURA BLVD,SHERMAN OAKS,91423-3603,13813 VENTURA 91423-3603,,,,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),4,08/16/2000,,"(34.1484, -118.4337)"
0000202664-0002-1,VOLT MANAGEMENT CORP,VOLT TEMPORARY SERVICES,8550 BALBOA BLVD SUITE #275,NORTHRIDGE,91325-3706,8550 BALBOA 91325-3706,POST OFFICE BOX #13500,ORANGE,92857-8500,561300,Employment services,12,01/01/1994,,"(34.2256, -118.5026)"
0000202703-0001-5,VICTORANO RODRIGUEZ,EL TACO LLAMA,7559 TOPANGA CANYON BLVD,CANOGA PARK,91303-1215,7559 TOPANGA CANYON 91303-1215,,,,722110,Full-service restaurants,3,10/01/1998,,"(34.2077, -118.6059)"
0000202731-0001-7,"VALLEY PACIFIC FRAME & SUSPENSION, INC",VALLEY PACIFIC FRAME/SUSPENSION,7245 DEERING AVENUE,CANOGA PARK,91303-1502,7245 DEERING 91303-1502,,,,,,3,02/01/1985,,"(34.2018, -118.5966)"
0000202771-0001-1,LARRY B PETTYJOHN,LIBERTY LETTERPRESS,14725 BESSEMER STREET #B,VAN NUYS,91411-2700,14725 BESSEMER 91411-2700,,,,323100,Printing & related support activities,6,01/30/1985,,"(34.1808, -118.4536)"
0000202777-0001-9,HARON BARCOHANA,URBAN KINGS,8401 VAN NUYS BLVD #41 & 64,PANORAMA CITY,91402-3586,8401 VAN NUYS 91402-3586,459 S CRESCENT DRIVE,BEVERLY HILLS,90212-4505,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",6,10/01/2000,,"(34.2237, -118.4488)"
0000202782-0001-0,"H & K PANORAMA TIRES, INC",H & K MASTER TIRES,14663 PARTHENIA STREET,PANORAMA CITY,91402-2916,14663 PARTHENIA 91402-2916,,,,452000,General merchandise stores,6,01/30/1985,,"(34.2281, -118.4526)"
0000202787-0001-2,MD ORTHOPEDICS INC,,13833 VENTURA BLVD SUITE #206,SHERMAN OAKS,91423-3628,13833 VENTURA 91423-3628,POST OFFICE BOX #6430,WOODLAND HILLS,91365-6430,,,4,07/29/2002,,"(34.1485, -118.4342)"
0000202788-0001-7,DAVID E HINEBAUGH DVM/C,GRANADA VETERINARY CLINIC,10838 SEPULVEDA BLVD,MISSION HILLS,91345-1411,10838 SEPULVEDA 91345-1411,,,,541940,Veterinary services,7,01/02/1985,,"(34.2667, -118.4671)"
0000202797-0001-6,KDB RESTAURANTS INC,KOUNTRY FOLKS RESTAURANT,8501 SEPULVEDA BLVD,NORTH HILLS,91343-5824,8501 SEPULVEDA 91343-5824,742 EISENHOWER WAY,SIMI VALLEY,93065-8360,722110,Full-service restaurants,6,02/10/1985,,"(34.2246, -118.4676)"
0000202801-0001-4,JOON SHIN,JR PLUMBING,16519 HALSEY STREET,GRANADA HILLS,91344-2953,16519 HALSEY 91344,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",12,08/24/2000,,"(34.2806, -118.4922)"
0000202812-0001-2,LAUREN ROEDERSHEIMER VAUGHN,LAUREN VAUGHN TUTORING,5700 ETIWANDA AVENUE UNIT #277,TARZANA,91356-2549,5700 ETIWANDA 91356-2549,5700 ETIWANDA AVENUE #277,TARZANA,91356-2549,611000,"Educational services (including schools, colleges, & universities)",3,09/01/1995,,"(34.1748, -118.5308)"
0000202864-0001-0,ALLSTATE BUILDING & OFFICE MAINTENANCE INC,,19720 VENTURA BLVD #105,WOODLAND HILLS,91364-6312,19720 VENTURA 91364-6312,,,,561720,Janitorial services,3,01/01/1985,,"(34.1725, -118.563)"
0000202907-0003-6,"VCA ANIMAL HOSPITALS, INC.",VCA PARKWOOD ANIMAL HOSPITAL,6330 FALLBROOK AVENUE,WOODLAND HILLS,91367-1603,6330 FALLBROOK 91367-1603,12401 W OLYMPIC BLVD,LOS ANGELES,90064-1022,541940,Veterinary services,3,09/17/1990,,"(34.1851, -118.6233)"
0000202907-0007-9,"VCA ANIMAL HOSPITALS, INC.",VCA MCCLAVE ANIMAL HOSPITAL,6950 RESEDA BLVD,RESEDA,91335-4206,6950 RESEDA 91335-4206,12401 W OLYMPIC BLVD,LOS ANGELES,90064-1022,541940,Veterinary services,3,01/01/1985,,"(34.1971, -118.536)"
0000202907-0010-9,"VCA ANIMAL HOSPITALS, INC.",VCA VETERINARY SPECIALISTS OF THE VALLEY,22123 VENTURA BLVD,WOODLAND HILLS,91364-1649,22123 VENTURA 91364-1649,12401 W OLYMPIC BLVD,LOS ANGELES,90064-1022,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",3,09/25/2012,,"(34.1685, -118.6086)"
0000202907-0012-5,"VCA ANIMAL HOSPITALS, INC.",VCA ADVANCED VETERINARY CARE CENTER - VALLEY,22123 VENTURA BLVD,WOODLAND HILLS,91364-1649,22123 VENTURA 91364-1649,12401 W OLYMPIC BLVD,LOS ANGELES,90064-1022,541940,Veterinary services,3,03/04/2014,,"(34.1685, -118.6086)"
0000202973-0001-7,TWIN SET DEVELOPMENT INC,,4011 COLDSTREAM TERRACE,TARZANA,91356-5409,4011 COLDSTREAM 91356-5409,4011 COLDSTREAM TERRACE,TARZANA,91356-5409,233220,Multifamily Housing Construction (1997 NAICS),3,09/22/2000,,"(34.1446, -118.5631)"
0000203015-0001-8,THE HANGER CORP,,7920 ALABAMA AVENUE,CANOGA PARK,91304-4907,7920 ALABAMA 91304-4907,,,,424990,Other miscellaneous nondurable goods,3,10/01/1975,,"(34.2143, -118.5994)"
0000203068-0001-0,RICHARD B FRANCIS ET AL,TOLUCA PLACE LTD,10231 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2500,10231 RIVERSIDE 91602-2500,501 S BEVERLY DRIVE #100,BEVERLY HILLS,90212-4520,531100,Lessors of real estate (including mini warehouses & self-storage units),4,04/01/1985,,"(34.1522, -118.3538)"
0000203111-0001-8,JEFFREY L THURSTON CHIROPRACTIC CORPORATION,NORTHRIDGE FAMILY CHIROPRACTIC CENTER,9535 RESEDA BLVD #212,NORTHRIDGE,91324-6037,9535 RESEDA 91324-6037,,,,621310,Offices of chiropractors,12,09/01/1997,,"(34.2433, -118.536)"
0000203124-0001-5,LEE S HARNESS,STANLEY PEST CONTROL CO,14829 CALVERT STREET,VAN NUYS,91411-2708,14829 CALVERT 91411-2708,2555 LOMA AVENUE,S EL MONTE,91733-1417,,,6,01/01/1975,,"(34.1816, -118.4558)"
0000203159-0002-7,FARRUKH N ALVI,GLOBAL ENTERPRISES ONE,7260 KENTLAND AVENUE,WEST HILLS,91307-1609,7260 KENTLAND 91307-1609,,,,423600,Electrical & electronic goods,12,04/12/2010,,"(34.2032, -118.6186)"
0000203159-0003-5,FARRUKH N ALVI,ONE STOP MAINTENANCE ONLY / LION KING 013,7260 KENTLAND AVENUE,WEST HILLS,91307-1609,7260 KENTLAND 91307-1609,,,,561720,Janitorial services,12,04/12/2010,,"(34.2032, -118.6186)"
0000203222-0001-4,STRATEGIC DISTRIBUTION LP,,9800 DE SOTO AVENUE,CHATSWORTH,91311-4411,9800 DE SOTO 91311-4411,,,,424300,"Apparel, piece goods, & notions",12,07/27/1995,,"(34.2473, -118.5885)"
0000203227-0001-7,JSJF CORP,WEILER'S DELI | WEILERS DELI,21161 VICTORY BLVD,CANOGA PARK,91303-2828,21161 VICTORY 91303-2828,,,,722110,Full-service restaurants,3,10/01/1984,,"(34.1883, -118.5942)"
0000203232-0001-8,Y M C A OF METROPOLITAN LOS ANGELES/C,,17160 VAN GOGH STREET,GRANADA HILLS,91344-1217,17160 VAN GOGH 91344-1217,625 S NEW HAMPSHIRE AVENUE,LOS ANGELES,90005-1342,624410,Child day care services,12,01/01/1990,,"(34.3057, -118.5053)"
0000203263-0001-3,RICHARD T TOON/PATRICK RIGG,,10532 AQUEDUCT AVENUE,GRANADA HILLS,91344-7201,10532 AQUEDUCT 91344-7201,,,,561300,Employment services,12,06/01/1976,,"(34.2619, -118.474)"
0000203294-0001-9,KRM GARDEN MANAGEMENT,KRM GARDEN MANAGEMENT,12312 ROSCOE BLVD,SUN VALLEY,91352-3720,12312 ROSCOE 91352-3720,POST OFFICE BOX #722,SUN VALLEY,91353-0722,561730,Landscaping services,2,06/01/1976,,"(34.2216, -118.4011)"
0000203311-0001-4,DARLENE S NAKAHARA,,19358 RINALDI STREET,NORTHRIDGE,91326-1607,19358 RINALDI 91326-1607,,,,812111,Barber shops,12,01/15/1985,,"(34.2749, -118.5546)"
0000203316-0001-7,ROMANO/ALICE M ZIHLA,,9967 MILBURN DRIVE,SUN VALLEY,91352-4246,9967 MILBURN 91352-4246,5050 CORINTHIA WAY,OCEANSIDE,92056-5152,,,2,06/01/1974,,"(34.2178, -118.3482)"
0000203327-0001-5,SIGNIUS INVESTMENT CORPORATION,,17541 CHATSWORTH STREET SUITE #8,GRANADA HILLS,91344-5720,17541 CHATSWORTH 91344-5720,345 WITHERSPOON STREET,PRINCETON,08542-3405,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),12,06/29/1995,,"(34.2649, -118.5162)"
0000203367-0001-0,C W B SHREWSBURY INC,,22854 CALVERT STREET,WOODLAND HILLS,91367-3203,22854 CALVERT 91367-3203,,,,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",3,02/07/1985,,"(34.1809, -118.6244)"
0000203451-0001-7,ENCINO PROPERTIES LLC,,18254 SHERMAN WAY,RESEDA,91335-4550,18254 SHERMAN 91335-4550,,,,,,3,01/01/1999,,"(34.201, -118.5309)"
0000203485-0001-6,PAID MY DUES PRODUCTION /C,,21700 OXNARD STREET #1950,WOODLAND HILLS,91367-7300,21700 OXNARD 91367-7300,21700 OXNARD STREET #1950,WOODLAND HILLS,91367-7300,711300,"Promoters of performing arts, sports, & similar events",3,08/01/1992,,"(34.1791, -118.6015)"
0000203525-0001-2,LIONEL L MARLOW,POOL FRIEND,23325 CHASE STREET,WEST HILLS,91304-3101,23325 CHASE 91304-3101,,,,,,12,10/01/1976,,"(34.2231, -118.635)"
0000203602-0001-0,D W INTERIORS INC,D-W INTERIORS,6205 VAN NUYS BLVD,VAN NUYS,91401-2710,6205 VAN NUYS 91401-2710,,,,442200,Home furnishings stores,6,06/01/1976,,"(34.1827, -118.4487)"
0000203607-0001-2,ICON MEDIA DIRECT INC,,5910 LEMONA AVENUE,VAN NUYS,91411-3006,5910 LEMONA 91411-3006,,,,541800,Advertising & related services,4,05/01/2000,,"(34.1778, -118.4596)"
0000203648-0001-1,"VALERIE G FERGUSON,MSW LCSW",ASSOCIATES IN MENTAL HEALTH,21243 VENTURA BLVD #205,WOODLAND HILLS,91364-2157,21243 VENTURA 91364-2157,,,,621399,Offices of all other miscellaneous health practitioners,3,04/01/1996,,"(34.1673, -118.5949)"
0000203768-0001-7,MARED INDUSTRIES INC,FOREMOST INDUSTRIAL INC,15222 KESWICK STREET,VAN NUYS,91405-1013,15222 KESWICK 91405-1013,POST OFFICE BOX #7916,VAN NUYS,91409-7916,,,6,03/01/1976,,"(34.2102, -118.4633)"
0000203849-0001-2,ALI A. SABOUHI,ADVANCE COLOR DESIGN,13542 VENTURA BLVD,SHERMAN OAKS,91423-3826,13542 VENTURA 91423-3826,,,,315000,Apparel mfg.,4,02/01/2001,,"(34.1475, -118.4285)"
0000203900-0001-5,DONALD L JUSTICE,,6154 PLATT AVENUE,WOODLAND HILLS,91367-1337,6154 PLATT 91367-1337,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),3,06/08/1994,,"(34.1822, -118.6428)"
